Pct	FAxFem(N)	FAP(N)	FDV(N)	HipTorqAP(Nm)	HipTorqDV(Nm)	FemTorsion(Nm)	TKFlex(Nm)	FAxTib(N)	FMLTib(N)	TAnkFlex(Nm)	TibTorsion(Nm)	Rhip(m)	Rknee(m)	Rankle(m)	Fem-GRFang(deg)	Tib-GRFang(deg)	
0.000000e+00	-2.281173e-02	-3.293616e-02	-1.531552e-02	-4.600491e-04	-1.893566e-04	-5.822693e-04	3.381676e-04	-1.903857e-02	1.981094e-02	7.332428e-05	3.695796e-05	-4.414721e-03	7.884150e-03	1.709506e-03	1.221299e+02	1.163512e+02	
1.000000e+00	-2.570558e-02	-3.648057e-02	-1.544530e-02	-4.926360e-04	-2.475849e-04	-6.473672e-04	3.979833e-04	-1.900626e-02	2.319691e-02	7.538833e-05	4.217522e-05	-5.242706e-03	8.427451e-03	1.596377e-03	1.229786e+02	1.137324e+02	
2.000000e+00	-2.853451e-02	-4.012565e-02	-1.556951e-02	-5.247484e-04	-3.035479e-04	-7.131761e-04	4.558658e-04	-1.879604e-02	2.652049e-02	7.699804e-05	4.798460e-05	-5.878149e-03	8.827756e-03	1.491053e-03	1.235432e+02	1.113450e+02	
3.000000e+00	-3.122547e-02	-4.387140e-02	-1.573902e-02	-5.563745e-04	-3.553901e-04	-7.797562e-04	5.103540e-04	-1.846621e-02	2.969420e-02	7.813464e-05	5.425096e-05	-6.334702e-03	9.096879e-03	1.392722e-03	1.238198e+02	1.092175e+02	
4.000000e+00	-3.372980e-02	-4.768326e-02	-1.599832e-02	-5.870481e-04	-4.019084e-04	-8.466131e-04	5.606056e-04	-1.807703e-02	3.266292e-02	7.875438e-05	6.086340e-05	-6.636690e-03	9.257247e-03	1.300467e-03	1.238471e+02	1.073679e+02	
5.000000e+00	-3.601164e-02	-5.150360e-02	-1.639144e-02	-6.160131e-04	-4.422548e-04	-9.129009e-04	6.061547e-04	-1.769200e-02	3.539083e-02	7.879468e-05	6.771083e-05	-6.809452e-03	9.333039e-03	1.213211e-03	1.236747e+02	1.058075e+02	
6.000000e+00	-3.802637e-02	-5.530046e-02	-1.698765e-02	-6.426643e-04	-4.753247e-04	-9.783483e-04	6.465508e-04	-1.740091e-02	3.783904e-02	7.811498e-05	7.460274e-05	-6.865925e-03	9.339236e-03	1.128348e-03	1.233177e+02	1.045575e+02	
7.000000e+00	-3.974468e-02	-5.903247e-02	-1.785501e-02	-6.662367e-04	-5.004105e-04	-1.042558e-03	6.817516e-04	-1.729508e-02	3.999152e-02	7.654447e-05	8.131936e-05	-6.820295e-03	9.291866e-03	1.043255e-03	1.227992e+02	1.036342e+02	
8.000000e+00	-4.117413e-02	-6.261537e-02	-1.905635e-02	-6.855912e-04	-5.175821e-04	-1.104418e-03	7.124525e-04	-1.746087e-02	4.187567e-02	7.396675e-05	8.767125e-05	-6.693604e-03	9.213755e-03	9.565711e-04	1.221734e+02	1.030507e+02	
9.000000e+00	-4.231698e-02	-6.597740e-02	-2.065728e-02	-6.997473e-04	-5.268407e-04	-1.162995e-03	7.393160e-04	-1.798689e-02	4.351922e-02	7.021141e-05	9.337269e-05	-6.499518e-03	9.120780e-03	8.661827e-04	1.214703e+02	1.028207e+02	
1.000000e+01	-4.315261e-02	-6.907784e-02	-2.268620e-02	-7.082023e-04	-5.279882e-04	-1.217509e-03	7.624380e-04	-1.892925e-02	4.492766e-02	6.501599e-05	9.801381e-05	-6.244748e-03	9.017690e-03	7.689727e-04	1.206895e+02	1.029373e+02	
1.100000e+01	-4.368353e-02	-7.184677e-02	-2.513871e-02	-7.104373e-04	-5.214877e-04	-1.266534e-03	7.822179e-04	-2.031062e-02	4.612683e-02	5.819205e-05	1.012490e-04	-5.942069e-03	8.912948e-03	6.630668e-04	1.198513e+02	1.033812e+02	
1.200000e+01	-4.392832e-02	-7.422003e-02	-2.801635e-02	-7.062110e-04	-5.080415e-04	-1.308776e-03	7.993261e-04	-2.215664e-02	4.715609e-02	4.959696e-05	1.027889e-04	-5.602452e-03	8.814606e-03	5.469328e-04	1.189746e+02	1.041425e+02	
